Q5/Q4,State,Abbreviation
94,Florida,FL
49,Texas,TX
35,NewYork,NY
21,Ohio,OH
79,Michigan,MI
78,Pennsylvania,PA
16,NewJersey,NJ
96,Illinois,IL
185,California,CA
177,Arizona,AZ
47,Georgia,GA
38,Indiana,IN
23,Tennessee,TN
12,Maryland,MD
12,NorthCarolina,NC
142,Virginia,VA
91,SouthCarolina,SC
91,Washington,WA
86,Massachusetts,MA
74,Kentucky,KY
74,Missouri,MO
73,Louisiana,LA
65,Wisconsin,WI
62,Minnesota,MN
56,Connecticut,CT
54,Oklahoma,OK
49,Oregon,OR
49,WestVirginia,WV
46,Colorado,CO
40,Iowa,IA
34,Alabama,AL
133,Kansas,KS
33,Mississippi,MS
29,Maine,ME
224,Delaware,DE
220,Nevada,NV
129,NewMexico,NM
19,Utah,UT
163,Arkansas,AR
135,Nebraska,NE
14,DistrictofColumbia,DC
12,RhodeIsland,RI
11,Idaho,ID
9,Alaska,AK
9,NewHampshire,NH
87,NorthDakota,ND
67,SouthDakota,SD
66,Montana,MT
4,Hawaii,HI
2,Wyoming,WY
1,Vermont,VT
